"Date","Site.Name","PM2.5","Ozone"
2020-02-05,"Pitt Agri. Center",32,NA
2020-02-05,"West Johnston Co.",32,38
2020-02-06,"Bryson City",60.5,NA
2020-02-06,"Castle Hayne",28.5,NA
2020-02-06,"Clemmons Middle",37.5,NA
2020-02-06,"Durham Armory",51,33
2020-02-06,"Frying Pan Mountain",NA,36
2020-02-06,"Garinger High School",40.6666666666667,22.5
2020-02-06,"Hattie Avenue",37,NA
2020-02-06,"Leggett",36,39
2020-02-06,"Mendenhall School",38,NA
2020-02-06,"Millbrook School",54.3333333333333,33.5
2020-02-06,"Pitt Agri. Center",45,NA
2020-02-06,"West Johnston Co.",44.5,37
2020-02-07,"Bryson City",31,NA
2020-02-07,"Castle Hayne",16.5,NA
2020-02-07,"Clemmons Middle",24,NA
2020-02-07,"Durham Armory",35,30
2020-02-07,"Frying Pan Mountain",2,34
2020-02-07,"Garinger High School",28.25,28
2020-02-07,"Hattie Avenue",25.6666666666667,NA
2020-02-07,"Leggett",32,31
2020-02-07,"Linville Falls",9,NA
2020-02-07,"Mendenhall School",28.5,NA
2020-02-07,"Millbrook School",41,31.5
2020-02-07,"Pitt Agri. Center",33.5,NA
2020-02-07,"West Johnston Co.",42.5,NA
2020-02-08,"Bryson City",22.5,NA
2020-02-08,"Castle Hayne",16.5,39
2020-02-08,"Clemmons Middle",22,NA
2020-02-08,"Durham Armory",40.3333333333333,39
2020-02-08,"Frying Pan Mountain",7,44
2020-02-08,"Garinger High School",33.75,34
2020-02-08,"Hattie Avenue",26.75,NA
2020-02-08,"Leggett",31.5,40
2020-02-08,"Linville Falls",8,NA
2020-02-08,"Mendenhall School",25.5,NA
2020-02-08,"Millbrook School",42.75,34
2020-02-08,"Pitt Agri. Center",31.5,NA
2020-02-08,"West Johnston Co.",30,NA
2020-02-09,"Bryson City",29,NA
2020-02-09,"Castle Hayne",13,36
2020-02-09,"Clemmons Middle",32.5,NA
2020-02-09,"Durham Armory",41.5,35
2020-02-09,"Frying Pan Mountain",NA,46
2020-02-09,"Garinger High School",23.3333333333333,36
2020-02-09,"Hattie Avenue",35,NA
2020-02-09,"Leggett",17.5,34
2020-02-09,"Mendenhall School",37,NA
2020-02-09,"Millbrook School",35,36
2020-02-09,"Pitt Agri. Center",10,NA
2020-02-09,"West Johnston Co.",31,NA
